superclass,group,previous_annotation_name
C126,symmetrical_lidded_vases_with_centered_sun_in_oval_frame,round_sun_face_vases_on_each_side
C127,centered_shell_in_leafy_ring_flanked_by_pots_and_snails,shell_ring_vases_with_flowers
C128,centered_flower_basket_with_flying_cherubs_looking_upward_and_holding,simple_basket_angels
C129,symmetrical_decorative_floral_elements_with_monster_face,simple_face_no_head_rolling_fauna
C130,central_flower_with_vine_surround_and_flanking_buds,simple_flower_in_middle_fleur-de-lis_on_side_round_shapes
C131,floral_vase_with_symmetrical_vine_design,simple_flower_vase_rolling_branches_little_flora
C132,centered_female_portrait_facing_right_with_circular_foliage_and_hanging_flowers,simple_right_looking_woman
C133,centered_flower_with_frame_and_suspended_buds_and_leaves,single_caged_flower_wild_flora_outside
C134,centered_flower_with_grasss_flanked_by_shell_and_plant_motifs,single_five_petal_flower_weedy_flower_ball_shaped_flower_bit_messy_AND_individual_flower_symmetric_neat_fauna_mushroom_looking_flowers
C135,symmetrical_vine_with_raised_bird_heads_and_square_elements,single_flower_maze_looking_cage_leading_to_standing_centre_facing_birds
C136,flower_with_bordered_design_and_flanking_planter_elements,single_flower_symmetric_three_individual_flowers_on_each_side_rolling
C137,centered_flower_with_geese_and_upward_buds,single_flower_wide_leaves_ball_shaped_flowers_next_to_it_rolling_fauna
C138,symmetrical_buds_with_curled_leaf_pattern,single_stroke_round_shaped_drawing_with_few_flowers
C139,centered_shell_with_coral_and_outward_bouquet,six_petals_feather_looking_flower_cornucopia
C140,outward_facing_sphinx_with_vase_and_spreading_plants,sphinxes_facing_opposite_directions
C141,centered_squirrel_holding_nut_with_flanking_bouquets,squirel_facing_right
C142,centered_bird_on_base_with_wings_spread_in_round_frame,standing_framed_right_facing_bird_cage
C143,seal_like_design_with_devil_face_and_birds_facing_outward,star_shaped_portrait_birds
C144,centered_spreading_eagle_with_dogs_facing_and_flower_base,strong_features_left_facing_bird_sitting_on_crest_dogs
C145,prominent_large_petal_bloom_with_swirling_leaves,strong_sunflowers_octopus_downward_tentacle
C146,centered_floral_motif_with_zigzag_leaves_and_swirling_scrolls,strong_sunflowers_octopus_upward_tentacle
C147,ruined_building_with_tree_distant_mountain_and_sunrise,sun_rise_behind_town_centre_columns_on_sides
C148,centered_seal_with_wings_and_two_bouquets,theatre_mask_rolling_flora_AND_head_with_side_tables_bouqet
C149,symmetrical_birds_facing_flower_in_frame_with_swirling_foliage,thin_spider_cage_birds_on_fly_AND_coupe_glass_airborn_birds
C150,central_bouquet_with_flanking_large_petal_flowers,three_heads_in_bucket_connected_flora_two_flowers
C151,centered_woven_flower_crown_with_three_palm_leaves_amid_acanthus,three_hydra_heads_out_of_basket_flora_on_sides
C152,equestrian_hunt_with_hunters_dogs_nobleman_and_buildings,town_at_back_two_people_trees_and_dog_on_front
C153,dog_chased_by_trident_figure_with_distant_city,town_scence_plenty_houses_painter_on_left
C154,painter_in_ruins_drawing_abandoned_building_scene,town_scene_pantheon_triumph_painter_close_to_centre
C155,couple_in_forest_with_architecture_and_tower,town_scene_white_house_to_right_woman_in_darker_forest_on_left
C156,two_cherubs_holding_drooping_flowers_with_floral_elements_and_obelisk_in_the_center,triumph_angels
C157,centered_daisy_with_two_upward_blooming_flowers_and_pots,twenty_petal_flower_in_middle_simple_flowers_connected
C158,two_symmetrical_bouquets_with_birds_facing_each_bouquet,two_cornucopia_joined_outward_looking_sitting_birds_flora
C159,centered_two_women_holding_cloth_with_candle_and_vase,two_leaning_women
C160,centered_curled_bouquet_on_base_with_symmetrical_scrolls_and_foliage,two_way_going_cornucopia_on_podium_flora_tentacle_like
C161,centered_medallion_with_mask_and_floral_vase,ugly_face_cornucopia
C162,centered_phoenix_with_flames_and_sunbursts_flanked_by_candles,upward_looking_bird_radiant_hearts_podium
C163,central_vase_with_cover_in_frame_with_suspended_elements_and_birds_facing_center,vase_earings_cage_centre_looking_birds
C164,centered_covered_vase_in_scroll_frame_with_floral_bouquets,vase_flying_puck_cornucopia
C165,centered_urn_with_lid_in_scroll_frame_surrounded_by_bouquets_and_birds_with_leaves,vase_flying_puck_two_pairs_of_flying_birds_cornucopia
C166,centered_vase_two_side_facing_female_portraits_and_two_birds,vase_with_flora_outward_facing_female_sculptures_centre_facing_eagles
C167,centered_vase_with_symmetrical_birds_and_butterflies_foliage,vase_with_fruit_and_flowers_sitting_inward_looking_birds_AND_fruit_and_flowers_in_vase_with_handles_centre_facing_birds
C168,ornamental_trophy_with_ribbons_and_twin_birds_and_floral_design,vase_with_handles_outward_looking_birds
C169,woman_with_spear_man_knelling_castle_in_background,villa_on_right_two_people_talking_left
C170,centered_rose_with_flower_basket_surrounded_by_intricate_borders,weedy_flower_joined_cornucopia_flora
C171,centered_owl_with_spread_wings_on_book_surrounded_by_foliage,weird_owl_standing_spread_wings
C172,centered_open_book_with_two_angels_and_wings,pages_angles
